gene,B lymph,CD IC,CD PC,CD Trans,DCT,Endo,Fib,LOH,Macro,NK,Neutro,PT,Podo,T lymph,novel1,novel2,cum_signal,cum_signal_norm,noise_2max,noise_2max_cum,noise_sum,ssr_2max,ssr_2max_cum,ssr_sum,gene_seq,corr,ref,cluster
Cacna1s,0.5077584949247627,0.0012585987466370255,0.0,0.0,0.0,0.0,0.011954613877498799,0.0,0.0,0.0,0.036982795603485275,0.0,0.0,0.0,0.0,0.0,0.5077584949247627,1.0,0.036982795603485275,0.036982795603485275,0.5209717075488984,13.729586599367607,13.729586599367607,0.9746373700669809,1,0.487560954552887,Jchain,B lymph
Ccr10,0.8919755599969625,0.007960623177626842,0.0,0.0,0.0007223631645479234,0.0,0.020321603426292148,0.0,0.0,0.0,0.07396559120697055,0.00036306058320945275,0.0,0.02030835224034013,0.013122188571098635,0.34069764394475477,0.8919755599969625,1.7566925396868671,0.34069764394475477,0.37768043954824004,1.028739342367048,2.618085495600314,2.3617202973600993,0.8670569144800055,2,0.398702196700627,Jchain,B lymph
Cd79a,12.998981229238932,0.016960680777995476,0.0,0.0,0.0018237971682883377,0.005453062221621169,0.029648247690359286,0.0,0.020114491686680572,0.0,0.32944562768787095,0.0011937234608747132,0.0,0.02030835224034013,0.017081954184652446,0.34069764394475477,12.998981229238932,25.600716401928562,0.34069764394475477,0.7183780834929948,13.441011166357614,38.15400975108228,18.094902291608804,0.9671133420210923,3,0.348306113681354,Jchain,B lymph
Cd79b,22.467789863209113,0.02161263981098345,0.024470930445935776,0.015434480629726818,0.0025535925232546457,0.017507992417031958,0.256270625380507,0.009882182390517621,0.728603055286389,0.016250702842897955,0.4739772773583161,0.0035719249428293348,0.0,0.05167039101512673,0.017081954184652446,0.3661569294553662,22.467789863209113,44.24896892476075,0.728603055286389,1.4469811387793838,23.744231486606253,30.83680434798313,15.5273550297705,0.9462420325493727,4,0.292976171011251,Jchain,B lymph
Derl3,24.670213649842978,0.03573542475148748,0.027762543678747628,0.015434480629726818,0.006489529686429446,0.017507992417031958,0.256270625380507,0.016308594191289612,0.7750891698839587,0.024378121257840064,0.4739772773583161,0.010344428284471109,0.0,0.06952739201041586,0.030420723914466256,0.3661569294553662,24.670213649842978,48.5865109031775,0.7750891698839587,2.2220703086633424,26.02052771285907,31.828871578139122,11.10235511165397,0.9481058156115418,5,0.617811944390356,Jchain,B lymph
Glipr1,26.860643208043953,0.036589347879278096,0.027762543678747628,0.025045337053142727,0.009335325171698498,0.01961781501259901,1.1488266489218313,0.016308594191289612,2.3479808146029466,0.6759005375610905,2.7709932137703897,0.010754654375676373,0.0,0.6922059351669445,0.033104856049996675,1.1752572655347122,26.860643208043953,52.90043096575675,2.7709932137703897,4.993063522433732,33.0793328832439,9.693507394590712,5.379591725072119,0.8120067990140762,6,0.299899138277605,Jchain,B lymph
Gm43291,30.114936983302243,0.036589347879278096,0.027762543678747628,0.025045337053142727,0.009335325171698498,0.01961781501259901,1.1985914068974535,0.016308594191289612,2.3479808146029466,0.6759005375610905,3.066855578598272,0.01097295366268907,0.0,0.7161633421159826,0.033104856049996675,1.1752572655347122,30.114936983302243,59.30956800193867,3.066855578598272,8.059919101032005,36.407567122713864,9.819483249702449,3.736382041284543,0.827161476673189,7,0.428191450735611,Jchain,B lymph
Gm5547,31.06499684694758,0.03740133567737506,0.027762543678747628,0.025045337053142727,0.009335325171698498,0.01961781501259901,1.7716055909763346,0.016308594191289612,2.479053177005242,1.040104688125624,3.066855578598272,0.01097295366268907,0.0,0.8519286598387823,0.033104856049996675,1.5581493945900917,31.06499684694758,61.1806541051581,3.066855578598272,11.126774679630277,38.945387117981184,10.12926629598452,2.791913896110262,0.7976553616693873,8,0.30874479798409,Jchain,B lymph
Irf4,31.564246696644844,0.03740133567737506,0.027762543678747628,0.025045337053142727,0.009335325171698498,0.03372119047464813,1.8976948903021065,0.016308594191289612,2.479053177005242,1.0699092297034019,3.066855578598272,0.011197663208878566,0.0,0.8609218762574886,0.033104856049996675,1.6051387843858758,31.564246696644844,62.163896837062055,3.066855578598272,14.193630258228549,39.67084149980472,10.292055131944462,2.223831826135244,0.7956535708172516,9,0.322506908273647,Jchain,B lymph
Jchain,397.23339495713685,0.06590060329418061,0.04533564500769537,0.050453132164682904,0.02499823317790709,0.0982589509812529,1.960716711058284,0.06845298307131273,4.144788736879507,1.2234835960568224,11.203070611365028,0.04461262580903773,0.0,1.627504597161582,0.05519252604918995,1.6051387843858758,397.23339495713685,782.3274232290237,11.203070611365028,25.396700869593577,408.2482320822342,35.45754630468551,15.641141619017453,0.9730192655852613,10,1.0,Jchain,B lymph
