node,leiden_cluster
entpd2,0
hepacam,0
etnppl,0
prex2,0
dio2,0
mfsd2a,0
btbd17,0
phgdh,0
ezr,0
mlc1,0
slc7a11,0
cd63,0
scrg1,0
glul,0
rbp1,0
sepp1,0
rfx4,0
slc27a1,0
id4,0
car2,0
tril,0
pbxip1,0
appl2,0
igfbp2,0
aw047730,0
vcam1,0
ntsr2,0
daam2,0
ptprz1,0
phkg1,0
tmem100,0
csrp1,0
mmd2,0
smpdl3a,0
il18,0
cst3,0
sox9,0
oaf,0
slc38a3,0
prdx6,0
nkain4,0
dbx2,0
nwd1,0
s100b,0
slc7a10,0
tlcd1,0
ccdc141,0
acsbg1,0
qk,0
tsc22d4,0
atp13a4,0
slc4a4,0
aldoc,0
gpr37l1,0
abhd3,0
dbi,0
tcn2,0
cldn10,0
gstm1,0
ppap2b,0
cyp4f15,0
bcan,0
timp4,0
ndrg2,0
fgfr3,0
myo10,0
tspan15,0
cyp2j9,0
lcat,0
ppp1r3g,0
adhfe1,0
fxyd1,0
ptplb,0
fam20a,0
atp1a2,0
f3,0
aqp4,0
gja1,0
gjb6,0
mfge8,0
slc15a2,0
ai464131,0
cml1,0
pla2g7,0
clmn,0
atp6v0e,0
pon2,0
fam107a,0
slco1c1,0
cbs,0
kcnj10,0
plcd4,0
s100a16,0
htra1,0
rgcc,0
pdlim4,0
gramd3,0
ednrb,0
gpc5,0
gstm5,0
nat8,0
chrdl1,0
fabp7,0
slc9a3r1,0
s100a1,0
apoe,0
slc25a18,0
myo6,0
s1pr1,0
prodh,0
slc1a3,0
itih3,0
fermt2,0
arhgef19,0
ppp1r3c,0
mertk,0
cyp2d22,0
slc39a12,0
s100a13,0
eva1a,0
cml5,0
cmtm5,0
bdnf,1
brinp1,1
osbpl1a,1
olfm1,1
pdp1,1
3110035e14rik,1
arpp21,1
sv2b,1
psd3,1
ano3,1
neurod6,1
ppp3ca,1
kcnma1,1
lingo1,1
itm2c,1
ywhah,1
snca,1
pde1a,1
atp1a1,1
nefm,1
pgm2l1,1
syt5,1
arpc3,1
nrgn,1
ociad2,1
ywhaz,1
mapk1,1
dusp14,1
mef2c,1
itpka,1
slc39a10,1
wasf1,1
lmo4,1
ephx4,1
hivep2,1
cd34,1
tusc3,1
sh3bgrl3,1
fmnl1,1
dkk3,1
grin2b,1
hpca,1
nptx1,1
ptk2b,1
atp2b1,1
stx1a,1
dpy19l1,1
ier5,1
egr1,1
pcsk2,1
kcnv1,1
arpp19,1
dlg1,1
egr3,1
fam131a,1
basp1,1
nell2,1
atl1,1
slc17a7,1
ensa,1
sh3gl2,1
n28178,1
ldha,1
tagln3,1
ptk2,1
st3gal5,1
sept8,1
fkbp1a,1
