dye_hyb,moduleName_full,moduleName_short,moduleName_Mx
Cy7-5s_00,Neuron.Slc17a7.Nptxr-Fos,Neuron_0,M01
Cy7-5s_01,Neuron.Slc17a7.Parm1.Lsamp,Neuron_1,M02
Cy7-5s_02,Microglia.C1qb.Tmem119-Fos,Microglia_0,M03
Cy7-5s_03,Neuron.Slc17a7.Parm1.Fos,Neuron_2,M04
Cy7-5s_04,Neuron.Gad1Gad2.Cplx3,Neuron.Inh_0,M05
Cy7-5s_05,Microglia,Microglia_1,M06
Cy7-5s_06,Neuron.Slc17a7.Nptxr-Ndst4,Neuron_3,M07
Cy7-5s_07,Polydendrocyte_Tnr,Polydendrocyte_0,M08
Cy7-5s_08,Endothelial_Stalk.Flt1.Lrg1,Endothelial_0,M09
Cy7-5s_09,Polydendrocyte.Tnr.Bmp4- Ptgds,Polydendrocyte_1,M10
Cy7-5s_10,Macroglia_Macrophage_C1qb,Microglia_2,M11
Cy7-5s_11,Neuron.Slc17a7.Parm1.Ndnf,Neuron_4,M12
Cy7-5s_12,Neuron.Slc17a7.Syt6-Etv1,Neuron_5,M13
Cy7-5s_13,Mural.Rgs5Acta2.Cnn1,Mural_0,M14
Cy7-5s_14,Astrocyte_Gja1,Astrocyte_0,M15
Cy7-5s_15,Polydendrocyte.Tnr.Pdgfa,Polydendrocyte_2,M16
Cy7-5s_16,Fibroblast-like_Dcn,Fibroblast-like_0,M17
Cy7-5s_17,Neuron.Gad1Gad2.Sst-Chodl,Neuron.Inh_1,M18
Cy5-3s_00,Macrophage.C1qb.Mrc1,Macrophage_0,M19
Cy5-3s_01,Mural_Rgs5Acta2,Mural_1,M20
Cy5-3s_02,Endothelial_Stalk.Flt1.Gkn3,Endothelial_1,M21
Cy5-3s_03,Endothelial_Stalk_Flt1,Endothelial_2,M22
Cy5-3s_04,Mural.Rgs5Acta2.Col3a1,Mural_2,M23
Cy5-3s_05,Oligodendrocyte.Tnf.Igsf8,Oligodendrocyte_0,M24
Cy5-3s_06,Neuron.Slc17a7-Slc17a8.Syt6-Cplx3,Neuron_6,M25
Cy5-3s_07,Polydendrocyte.Tnr.Opalin,Polydendrocyte_3,M26
Cy5-3s_08,Neuron.Slc17a7.Parm1.Nnat,Neuron_7,M27
Cy5-3s_09,Neuron.Slc17a7.Parm1.Tshz2,Neuron_8,M28
Cy5-3s_10,Neuron.Slc17a7.Syt6-Bdnf,Neuron_9,M29
Cy5-3s_11,Neuron_Layer23_Nptxr,Neuron_10,M30
Cy5-3s_12,Neuron_Claustrum_Nr4a2,Neuron_11,M31
Cy5-3s_13,Mural.Rgs5Acta2.Abcc9,Mural_3,M32
Cy5-3s_14,Neuron.Gad1Gad2.Pvalb-Nefm,Neuron.Inh_2,M33
Cy5-3s_15,Endothelial_Stalk.Flt1.Mgp,Endothelial_3,M34
Cy5-3s_16,NeuronSlc17a7-Slc17a6.Syt6-Nnat,Neuron_12,M35
Cy5-3s_17,Neuron.Slc17a7.Syt6-Fos,Neuron_13,M36
Alexa594-3s_00,Astrocyte.Gja1.Myoc,Astrocyte_1,M37
Alexa594-3s_01,Oligodendrocyte.Tnf.Igsf8-Ctps,Oligodendrocyte_1,M38
Alexa594-3s_02,Oligodendrocyte.Tnf.Klk6,Oligodendrocyte_2,M39
Alexa594-3s_03,Astrocyte.Gja1,Astrocyte_2,M40
Alexa594-3s_04,Endothelial_Tip.Dcn.Coch,Endothelial_4,M41
Alexa594-3s_05,Neuron.Slc17a7.Nptxr-Deptor,Neuron_14,M42
Alexa594-3s_06,Neuron.Slc17a7.Parm1.Cadm2,Neuron_15,M43
Alexa594-3s_07,Mural.Rgs5Acta2.Ccnd1,Mural_4,M44
Alexa594-3s_08,Neuron.Slc17a7.Nptxr-Calb1,Neuron_16,M45
Alexa594-3s_09,Neuron.Slc17a7-Slc17a6.Nptxr-Rorb,Neuron_17,M46
Alexa594-3s_10,Endothelial_Stalk.Flt1.Car4,Endothelial_5,M47
Alexa594-3s_11,Endothelial_Tip.Dcn.Col15a1,Endothelial_6,M48
Alexa594-3s_12,Endothelial_Tip.Dcn.1500015O10Rik,Endothelial_7,M49
Alexa594-3s_13,Neuron.Gad1Gad2.Cplx3-Crim1,Neuron.Inh_3,M50
Alexa594-3s_14,Neuron.Slc17a6-Slc17a7-Slc17a8.Fezf2.Slc17a8,Neuron_18,M51
Alexa594-3s_15,Neuron.Slc17a6-Slc17a7.Nr4a2,Neuron_19,M52
Alexa594-3s_16,Endothelial_Stalk.Flt1.Cfh,Endothelial_8,M53
