,x,y,leiden,QC
0,8670.835294,12770.30588,13,cell
1,7887.358491,13559.67925,7,cell
2,6411.15,12702.43333,6,cell
3,6473.422414,12705.62069,3,cell
4,6685.226667,12703.0,28,cell
5,6696.6375,12704.7625,4,cell
6,6751.72549,12701.72549,34,cell
7,7151.183333,12704.85,28,cell
8,7181.252632,12704.30526,34,cell
9,7288.888889,12706.76768,24,cell
10,7276.01626,12707.26829,34,cell
11,7299.25,12708.0,10,cell
12,6709.47619,12707.04762,34,cell
13,6911.0,12711.08824,3,cell
14,6678.090909,12713.04848,34,cell
15,7139.235294,12715.13369,16,cell
16,6488.6,12718.02143,9,cell
17,6538.124224,12719.86957,4,cell
18,6516.018957,12722.5782,34,cell
19,7276.885714,12718.72381,34,cell
20,7014.556338,12724.72535,34,cell
21,7160.519231,12723.30769,34,cell
22,6709.991525,12727.40678,3,cell
23,7269.389381,12728.84956,34,cell
24,7027.611111,12730.26667,9,cell
25,6724.040404,12732.41414,9,cell
26,7274.891626,12738.58128,34,cell
27,6956.551724,12737.27011,34,cell
28,6700.245902,12736.05738,3,cell
29,6361.046154,12737.83846,3,cell
30,6462.524752,12736.31683,5,cell
31,6735.138298,12739.32979,9,cell
32,6805.979487,12741.95385,34,cell
33,7133.432432,12741.96396,34,cell
34,6620.123377,12742.34416,4,cell
35,6769.328671,12741.98601,3,cell
36,6907.559006,12742.99379,34,cell
37,7064.06015,12743.62406,5,cell
38,6629.843243,12747.32973,34,cell
39,6855.531915,12743.2766,5,cell
40,7204.635514,12744.17757,34,cell
41,6975.633663,12750.18812,34,cell
42,6838.073826,12751.77852,4,cell
43,7235.529412,12749.25,6,cell
44,6445.185185,12751.07407,9,cell
45,7088.344828,12751.32184,34,cell
46,6687.839286,12751.05357,3,cell
47,7026.105991,12756.08756,34,cell
48,6411.638095,12754.0381,4,cell
49,7262.285714,12754.87619,3,cell
50,6757.975,12756.4,4,cell
51,6690.604651,12759.74419,7,cell
52,6889.674033,12759.59116,34,cell
53,6471.520202,12762.92929,4,cell
54,6543.094737,12760.73684,4,cell
55,6619.043956,12761.99451,26,cell
56,6639.546154,12764.62308,34,cell
57,6922.427273,12764.80909,5,cell
58,7267.234043,12765.25532,22,cell
59,6585.319149,12764.3617,3,cell
60,6874.725714,12768.98857,34,cell
61,6990.0,12767.3,34,cell
62,6604.872928,12771.30939,12,cell
63,6698.642857,12770.45833,34,cell
64,7109.782787,12774.46311,5,cell
65,7231.891775,12774.39394,34,cell
66,7249.761905,12771.30952,3,cell
67,7127.677316,12774.83067,20,cell
68,6828.671233,12773.73973,3,cell
69,6629.807692,12775.70879,34,cell
70,6447.795918,12774.44898,3,cell
71,7257.75625,12777.14375,22,cell
72,6470.964539,12777.38298,7,cell
73,7218.594828,12781.25862,34,cell
74,6769.450311,12786.37888,4,cell
75,7035.019417,12781.84466,3,cell
76,6514.647619,12783.97143,3,cell
77,6808.104396,12785.03297,4,cell
78,6697.230189,12787.27547,23,cell
79,6387.693333,12791.22667,25,cell
80,6583.177215,12785.08861,34,cell
81,6746.010989,12785.74725,4,cell
82,6903.696629,12787.73034,34,cell
83,7235.267717,12789.12598,34,cell
84,6469.231111,12793.23556,4,cell
85,6858.333333,12789.54902,34,cell
86,6625.019868,12790.64238,34,cell
87,6737.760479,12796.52695,34,cell
88,6845.941176,12794.89076,5,cell
89,6541.305263,12795.8,23,cell
90,6592.670732,12797.39634,34,cell
91,6623.894737,12803.84211,34,cell
92,6830.91358,12803.85185,12,cell
93,6801.416974,12803.61624,25,cell
94,7186.525547,12808.19708,23,cell
95,7222.715686,12806.59804,34,cell
96,6413.760274,12808.66438,3,cell
97,6563.313043,12807.93043,16,cell
98,7127.454545,12807.87879,34,cell
99,7144.192053,12808.88079,34,cell
100,6460.52381,12807.69048,4,cell
101,6719.904459,12811.52229,5,cell
102,6972.042857,12809.22857,5,cell
103,6855.425532,12814.70213,16,cell
104,6962.893617,12813.67021,5,cell
105,7114.559406,12815.82673,34,cell
106,6561.123529,12819.87647,4,cell
107,7049.598837,12819.84302,34,cell
108,6661.350649,12817.88312,5,cell
109,7101.719298,12817.59649,6,cell
110,7015.175182,12820.38686,5,cell
111,6954.797297,12823.72973,5,cell
112,7208.961538,12826.06593,34,cell
113,6781.121849,12829.2395,34,cell
114,6802.539474,12827.32237,34,cell
115,6966.424242,12824.06061,3,cell
116,6740.886667,12830.16,9,cell
117,7005.613208,12829.71698,3,cell
118,7218.527473,12830.70879,34,cell
119,6464.822222,12829.91852,26,cell
120,7083.861111,12830.48611,6,cell
121,6484.203704,12834.65741,9,cell
122,6973.837209,12833.9186,34,cell
123,6497.336207,12838.28448,23,cell
124,7204.155963,12843.63761,34,cell
125,6832.875,12851.08523,34,cell
126,6893.136054,12850.79592,20,cell
127,6959.489796,12851.09524,34,cell
128,6874.902857,12851.35429,34,cell
129,6987.228571,12850.57143,9,cell
130,7058.844262,12855.5082,34,cell
131,6905.172185,12858.31788,3,cell
132,7047.606061,12859.32576,5,cell
