,x,y,leiden,QC,n_genes,normalize_total,class
1,7887.358491,13559.67925,10,cell,53,4985.1895,Mature oligodendrocytes 2
2,6411.15,12702.43333,1,cell,53,2633.95,Astrocytes
3,6473.422414,12705.62069,1,cell,53,3883.8792,Astrocytes
4,6685.226667,12703.0,4,cell,53,6748.7197,Endothelial cells
5,6696.6375,12704.7625,0,cell,53,8492.5,Inhibitory neurons 1
6,6751.72549,12701.72549,0,cell,53,8837.233,Inhibitory neurons 1
7,7151.183333,12704.85,4,cell,53,8582.117,Endothelial cells
8,7181.252632,12704.30526,0,cell,53,10568.147,Inhibitory neurons 1
9,7288.888889,12706.76768,7,cell,53,7154.606,Blood vessel associated cells
10,7276.01626,12707.26829,0,cell,53,15311.618,Inhibitory neurons 1
11,7299.25,12708.0,10,cell,53,3820.095,Mature oligodendrocytes 2
12,6709.47619,12707.04762,0,cell,53,6753.9043,Inhibitory neurons 1
13,6911.0,12711.08824,1,cell,53,4166.5195,Astrocytes
14,6678.090909,12713.04848,0,cell,53,8837.54,Inhibitory neurons 1
15,7139.235294,12715.13369,8,cell,53,5747.824,Unknown
16,6488.6,12718.02143,6,cell,53,5293.393,Excitatory neurons 3
17,6538.124224,12719.86957,0,cell,53,11935.397,Inhibitory neurons 1
18,6516.018957,12722.5782,1,cell,53,8593.634,Astrocytes
19,7276.885714,12718.72381,1,cell,53,15745.772,Astrocytes
20,7014.556338,12724.72535,0,cell,53,8745.282,Inhibitory neurons 1
21,7160.519231,12723.30769,0,cell,53,10992.078,Inhibitory neurons 1
22,6709.991525,12727.40678,1,cell,53,5753.2373,Astrocytes
23,7269.389381,12728.84956,1,cell,53,15479.3,Astrocytes
24,7027.611111,12730.26667,6,cell,53,4346.078,Excitatory neurons 3
25,6724.040404,12732.41414,6,cell,53,6250.6865,Excitatory neurons 3
26,7274.891626,12738.58128,1,cell,53,8856.065,Astrocytes
27,6956.551724,12737.27011,0,cell,53,8115.8105,Inhibitory neurons 1
28,6700.245902,12736.05738,1,cell,53,5070.14,Astrocytes
29,6361.046154,12737.83846,1,cell,53,3789.2,Astrocytes
30,6462.524752,12736.31683,4,cell,53,1629.5741,Endothelial cells
31,6735.138298,12739.32979,6,cell,53,5542.0425,Excitatory neurons 3
32,6805.979487,12741.95385,0,cell,53,8533.672,Inhibitory neurons 1
33,7133.432432,12741.96396,0,cell,53,11347.964,Inhibitory neurons 1
34,6620.123377,12742.34416,0,cell,53,11849.669,Inhibitory neurons 1
35,6769.328671,12741.98601,1,cell,53,6274.7485,Astrocytes
36,6907.559006,12742.99379,0,cell,53,13343.777,Inhibitory neurons 1
37,7064.06015,12743.62406,4,cell,53,4643.6987,Endothelial cells
38,6629.843243,12747.32973,1,cell,53,9247.575,Astrocytes
39,6855.531915,12743.2766,4,cell,53,4051.9148,Endothelial cells
40,7204.635514,12744.17757,0,cell,53,7411.7944,Inhibitory neurons 1
41,6975.633663,12750.18812,0,cell,53,9992.961,Inhibitory neurons 1
42,6838.073826,12751.77852,0,cell,53,6062.96,Inhibitory neurons 1
43,7235.529412,12749.25,1,cell,53,3605.0735,Astrocytes
44,6445.185185,12751.07407,6,cell,53,3934.8147,Excitatory neurons 3
45,7088.344828,12751.32184,0,cell,53,10339.137,Inhibitory neurons 1
46,6687.839286,12751.05357,1,cell,52,2486.6072,Astrocytes
47,7026.105991,12756.08756,1,cell,53,8607.11,Astrocytes
48,6411.638095,12754.0381,0,cell,53,2933.5234,Inhibitory neurons 1
49,7262.285714,12754.87619,1,cell,53,9739.506,Astrocytes
50,6757.975,12756.4,0,cell,53,8215.938,Inhibitory neurons 1
51,6690.604651,12759.74419,10,cell,53,3713.3955,Mature oligodendrocytes 2
52,6889.674033,12759.59116,0,cell,53,8297.31,Inhibitory neurons 1
53,6471.520202,12762.92929,0,cell,53,12218.741,Inhibitory neurons 1
54,6543.094737,12760.73684,0,cell,53,5306.7896,Inhibitory neurons 1
55,6619.043956,12761.99451,7,cell,53,8729.264,Blood vessel associated cells
56,6639.546154,12764.62308,0,cell,53,9317.008,Inhibitory neurons 1
57,6922.427273,12764.80909,4,cell,53,3419.8367,Endothelial cells
58,7267.234043,12765.25532,7,cell,53,4444.5527,Blood vessel associated cells
59,6585.319149,12764.3617,1,cell,53,2883.5,Astrocytes
60,6874.725714,12768.98857,0,cell,53,10661.915,Inhibitory neurons 1
61,6990.0,12767.3,0,cell,53,7999.394,Inhibitory neurons 1
62,6604.872928,12771.30939,11,cell,53,8266.679,Microglia
