,x,y
0,-117.38482384823848,15997.669376693768
1,-186.18,15896.186666666666
2,-384.9913043478261,15672.52608695652
3,-398.5210325047801,16598.84416826004
4,-579.0377358490566,15655.037735849057
5,-806.0783132530121,16460.626506024095
6,-819.6122699386503,15721.476073619631
7,-840.3853211009174,16243.871559633028
8,-865.0685358255452,16252.766355140187
9,-903.3046357615895,15720.738410596026
10,-927.3817427385892,15732.360995850622
11,-1012.9885057471264,16435.33716475096
12,-1161.5452631578946,15468.343157894737
13,-1234.3353293413174,16059.730538922156
14,-1277.0747198007473,16185.341220423412
15,-1295.0,15705.489711934157
16,-1300.358361774744,15744.675767918088
17,-1325.299019607843,15760.406862745098
18,-1365.811475409836,16171.88524590164
19,-1381.0083612040135,15744.478260869566
20,-1399.3525641025642,15684.79772079772
21,-1389.420091324201,16257.817351598173
22,-1395.9951140065148,15569.64006514658
23,-1422.0623655913978,15635.730107526882
24,-1425.4392419175028,16211.991081382386
25,-1584.2364864864865,16185.641891891892
26,-47.319148936170215,14963.878723404256
27,-83.046875,14383.605803571429
28,-70.8688524590164,14935.306010928962
29,-120.06333100069979,14049.606368089573
30,-157.7204724409449,14352.69094488189
31,-171.84126984126985,13474.453514739229
32,-167.16901408450704,14326.471830985916
33,-190.6824644549763,14815.26066350711
34,-195.98019801980197,14899.554455445545
35,-210.36601307189542,14281.97385620915
36,-212.58041958041957,14788.202797202797
37,-230.94642857142858,14299.973214285714
38,-303.5514705882353,14007.875
39,-312.037037037037,14698.546296296296
40,-336.595,13981.67
41,-392.17136842105265,14685.849684210527
42,-405.31602564102565,14919.453846153847
43,-399.2870813397129,14616.751196172248
44,-405.9055374592834,14521.01302931596
45,-424.74164524421593,14641.073264781491
46,-430.7431693989071,14597.896174863388
47,-445.0495356037152,14168.690402476781
48,-480.61357210179074,14359.043355325164
49,-522.2667861799217,14577.536831812256
50,-473.74436090225566,14430.57142857143
51,-483.3917748917749,13836.119047619048
52,-484.67632850241546,14626.400966183575
53,-483.1666666666667,14150.21568627451
54,-562.1181585677749,13645.611764705882
55,-559.395061728395,14510.345679012345
56,-578.1495495495495,13734.875675675676
57,-666.8578712555768,14280.899617590821
58,-652.4468664850136,14392.016348773843
59,-669.4826666666667,14245.2
60,-698.7610062893082,13531.968553459119
61,-726.5235378031384,13521.48359486448
62,-755.4186440677967,14238.583050847457
63,-750.7476923076923,14421.086153846154
64,-769.5135135135135,14060.052252252251
65,-782.7937888198758,14408.693167701864
66,-851.8194444444445,14337.055224867725
67,-893.8795180722891,14544.575301204819
68,-899.8534482758621,14935.66379310345
69,-960.2980769230769,14206.701923076924
70,-965.2576271186441,13671.718644067796
71,-1048.70116325712,14149.569327450194
72,-987.934131736527,14279.670658682635
73,-1014.9854368932039,13679.985436893205
74,-1019.358407079646,14268.154867256637
75,-1064.0714285714287,13672.744360902256
76,-1067.9295774647887,13643.239436619719
77,-1075.3333333333333,14103.650406504064
78,-1132.8588133391079,13619.76916414032
79,-1106.79280261723,13670.968375136314
80,-1100.5723684210527,13707.993421052632
81,-1125.2222222222222,13735.588477366255
82,-1144.3960396039604,13687.881188118812
83,-1158.4809160305344,13676.370229007634
84,-1272.7420634920634,14258.710317460318
85,-1382.9479166666667,14353.295833333334
86,-1386.3302752293578,14244.587155963303
87,-1443.9017068864039,14217.181871689229
88,-1493.737556561086,14203.266968325792
89,-1516.7758620689656,14214.149425287356
90,-1552.3846153846155,13914.966153846153
91,-1572.6055555555556,14929.644444444444
92,-1596.1858974358975,14949.955128205129
93,-1628.3689655172413,14939.45172413793
94,-16.28530050687907,11982.296162201303
95,-33.91787681522283,13090.55983975964
96,-50.22183828610919,13150.691776088459
97,-65.89799072642967,13017.262751159196
98,-81.5030487804878,12743.483231707318
99,-89.67052023121387,12971.791907514451
100,-145.05064655172413,12868.883620689656
101,-138.73214285714286,12666.032142857142
102,-152.8175355450237,12509.72037914692
103,-161.70805812417439,12022.16644649934
104,-167.93582887700535,12643.692513368984
105,-200.76904176904176,12593.93366093366
106,-217.5909090909091,12852.082039911307
107,-217.01353013530135,12448.467404674047
108,-251.3938223938224,12798.629343629344
109,-279.8066666666667,11851.94
110,-347.11901525449326,13172.26974777224
111,-317.2411388727484,13020.648460197559
112,-309.5245901639344,13386.855191256831
113,-371.25645969919015,12948.355958349402
114,-344.8943089430894,12927.032520325203
115,-412.9904761904762,12388.009523809524
116,-425.219298245614,13224.359649122807
117,-435.8966223132037,13254.720573183215
118,-430.1666666666667,12372.940476190477
119,-451.8722934158197,12893.458241272647
120,-473.4019230769231,12305.253846153846
121,-491.94485294117646,12165.132352941177
122,-620.7218299585692,13293.259030168641
123,-558.0071942446043,12517.75179856115
124,-575.2411347517731,13034.27659574468
125,-580.6052631578947,12532.77894736842
126,-631.848153812541,12929.874590343019
127,-587.4,13015.4
128,-604.3664122137404,13033.801526717558
129,-630.6299840510367,12379.610845295056
130,-631.6953642384105,13067.384105960266
131,-645.9655172413793,13050.948275862069
132,-718.3183520599251,13040.14606741573
133,-760.656626506024,12332.686746987953
134,-805.0654205607476,13052.406542056075
135,-891.0613391984359,12690.990795047246
136,-825.231939163498,13059.66349809886
137,-842.2882854436375,12199.182507104515
138,-852.2080329557158,12261.63851699279
139,-894.8899111675127,12147.355964467006
140,-911.439121756487,13202.36127744511
141,-921.6267071320182,12408.793626707133
142,-935.9498432601881,12093.423197492162
143,-938.8745583038869,12185.964664310954
144,-941.0415224913495,12002.335640138408
145,-947.1482649842271,12360.876971608834
146,-968.6425419240953,13022.101500441306
147,-976.240170031881,12222.081827842721
148,-982.0462962962963,12987.99537037037
149,-1050.4495412844037,13032.59633027523
150,-1088.3398692810458,13045.51633986928
151,-1128.5151515151515,13045.852049910873
152,-1126.0086956521739,12884.08695652174
153,-1153.7283464566929,12936.299212598426
154,-1159.9356435643565,12794.762376237624
155,-1163.2804232804233,13019.5291005291
156,-1172.5314285714285,13383.794285714286
157,-1185.4575471698113,13004.150943396227
158,-1186.2954048140043,12803.380743982494
159,-1200.9317073170732,13336.156097560975
160,-1227.4832535885168,13155.88995215311
161,-1251.6497797356828,12495.017621145375
162,-1274.7699175824175,12525.404532967033
163,-1304.5670731707316,13092.888719512195
164,-1306.4231082180634,12828.084621643613
165,-1305.1960132890365,12719.36877076412
166,-1314.5700575815738,12181.408829174665
167,-1319.9291845493563,12652.454935622318
168,-1317.904347826087,12691.217391304348
169,-1349.5507246376812,12303.821256038647
170,-1380.495575221239,12161.189380530974
171,-1415.3397590361446,12663.761445783133
172,-1429.294964028777,12768.978417266188
173,-1438.361216730038,12796.676806083651
174,-1484.5143581081081,13008.820101351352
175,-1472.1333333333334,12964.288888888888
176,-1501.7980356046655,12768.249232658072
177,-1579.984555984556,13202.15444015444
178,-1592.513274336283,13346.650442477876
179,-1609.537616229924,12598.622147083686
180,-1619.2175572519084,13338.667938931298
181,-1643.7888198757764,12624.19254658385
182,-9.933136676499508,11307.57227138643
183,-313.34383954154725,10208.881088825216
184,-845.973979362943,10943.16778824585
185,-854.95625,10119.51875
186,-869.7945736434109,10087.507751937985
187,-977.703056768559,10925.349344978165
188,-1003.876026272578,10644.24302134647
189,-1026.3125,10671.6171875
190,-1075.0734463276835,10446.728813559323
191,-1084.6306306306305,10205.585585585586
192,-1099.6120352250489,10782.810176125244
193,-1126.9035532994924,10109.30456852792
194,-1136.5521472392638,10199.441717791411
195,-1162.110183639399,10230.131886477462
196,-1175.8802395209582,10264.850299401198
